Feature,Coefficient
LogEE_A,0.3939362351725964
VR3_A,-0.5250414099150028
nC,0.8160676715367018
ATS0dv,0.18300086694383877
ATS2s,0.008215930367417273
ATS3s,0.06427677486420502
ATS0Z,-0.24017903027359058
ATS3v,-0.017407050081490384
ATS2se,-1.5478746162223351
ATS0are,0.7092831732818287
ATS2are,1.8922833543873447
ATS3are,-0.3489141084118495
ATS0p,-2.3213166005527355
ATS2p,0.5804446797796216
ATS3p,0.013085474725862564
AATS1dv,0.1810718031656567
AATS1d,-0.1570975581206162
AATS2d,0.01783621099210768
AATS3d,0.07238449508366737
AATS0m,0.7043536747373312
AATS0v,-0.3726178418041428
AATS2pe,0.5450058528199583
AATS2are,-0.6220224157155001
ATSC2s,-0.025938762971607923
ATSC3s,-0.0052098135425480835
ATSC0m,0.5440381364910207
ATSC0v,-0.27597553818109544
ATSC2v,-0.10317423707778835
ATSC3pe,-0.008994170461953985
ATSC0are,-0.06348029358977783
ATSC3p,-0.006939676677748502
AATSC1c,-0.03967489344695688
AATSC0s,-0.06219533120986478
AATSC2m,-0.0017463992624447977
AATSC3m,0.012767691684127502
AATSC0are,-0.15865284908879407
AATSC0i,-0.05596467751760793
AATSC1i,-0.0065149327431223425
MATS1s,-0.01289542936381086
MATS2s,0.0028442077211302264
MATS2se,0.017999651826956564
MATS1pe,0.05228217020805895
MATS1are,-0.038596878336173646
MATS2are,-0.04674472598807472
MATS2p,0.0034821372067467826
GATS1c,-0.013928478833024505
GATS3c,-0.00788139221382278
GATS2dv,-0.02927618038100277
GATS2s,0.005863435442037268
GATS1pe,-0.31596380066393065
GATS1are,0.314180596352925
BCUTdv-1l,-0.0011440491754251547
BCUTs-1l,-0.007506622244891625
BCUTv-1h,-0.036922735229672154
BalabanJ,-0.025380241988134933
SpMAD_DzZ,5.1510050065153985
VE2_DzZ,-24.042666304057104
SpDiam_Dzm,-4.112487132491271
VR2_Dzm,0.5456110192514487
SpMax_Dzse,0.9689561605637104
SpDiam_Dzse,4.268476617286575
SpMAD_Dzse,-5.102149079802439
VE3_Dzse,52.25665235030818
SpMax_Dzpe,14.660475650293158
SpAD_Dzpe,1.314227769198342
LogEE_Dzpe,-17.382636549244257
VE2_Dzpe,9.842634796073439
VR1_Dzare,0.44360107783016345
VR3_Dzare,1.9284031911194606
VE2_Dzi,15.776456431015292
VE3_Dzi,-53.524978704588
VR2_Dzi,-1.1103281122506616
PPSA2,-0.08462976051929838
FNSA1,-0.013126395756864362
FPSA3,0.0019413881483248824
WNSA2,-0.005015430063216364
WNSA5,0.0028879241315609566
WPSA2,-0.00756415119293935
RNCG,0.017710662535023403
AXp-0d,0.07673399366999267
Spe,-0.18515578351163223
Mse,-0.2983304839287332
SpAbs_D,0.07190400772835853
ECIndex,0.28395294666473814
ETA_beta_s,-0.1287432911247471
AETA_eta_L,-0.06689285500454725
ETA_eta_RL,-0.5189387195984095
ETA_epsilon_2,-0.1500010920564993
GeomShapeIndex,-0.005551874934118017
GRAVH,-0.1017793099766206
GRAVp,-0.44046579564556937
IC1,0.029645784019921795
IC2,-0.021455859375919317
TIC5,-0.019478449939074105
SIC3,-0.03424023405264576
SIC5,0.03840479341215275
BIC0,0.0367690922430477
MIC4,-0.0114280881105977
ZMIC2,-0.0667487263670048
ZMIC3,0.035049306036800676
LabuteASA,1.3777451964461023
AMID,0.018119303098301287
MOMI-X,0.02606827871682904
MOMI-Z,0.00963538283805726
Diameter,-0.055706063898654096
Radius,-0.01269822637078269
Vabc,0.04734919556255036
MWC05,-0.40898347868926843
SRW02,1.331170365437889
SRW10,-0.06371544974104226
MW,-0.7216410247988152
